BRAINLAP01,System,JHSMH,MCE,No,N/A,Yes
BRAINLAP02,System,JHSMH,MCE,No,N/A,Yes
C4,System,JHSMH,MCE,No,N/A,Yes
CARDCORF02,System,JHSMH,MCE,No,N/A,Yes
CARDIOONCALL01,System,JHSMH,PTC,No,N/A,Yes
CHAN-N12279,System,JHSMH,PTC,No,N/A,Yes
CLK0039,System,JHSMH,MCS,No,N/A,Yes
CLK0064,System,JHSMH,PTC,No,N/A,Yes
CLK0102,System,JHSMH,PTC,No,N/A,Yes
CLK0519,System,JHSMH,PTC,No,N/A,Yes
CLK0536,System,JHSMH,OLP,No,N/A,Yes
CLK0580,System,JHSMH,SMH,No,N/A,Yes
CLK0582,System,JHSMH,SMH,No,N/A,Yes
CLK0618,System,JHSMH,SMH,No,N/A,Yes
CLK0638,System,JHSMH,SMH,No,N/A,Yes
CLK0770,System,JHSMH,PTC,No,N/A,Yes
CLK0776,System,JHSMH,SMH,No,N/A,Yes
CLK0855,System,JHSMH,SMH,No,N/A,Yes
CLK0921A,System,JHSMH,SMH,No,N/A,Yes
CLK0937,System,JHSMH,SMH,No,N/A,Yes
CLK0964,System,JHSMH,SMH,No,N/A,Yes
CLK1029,System,JHSMH,MCS,No,N/A,Yes
CLK1072,System,JHSMH,SMH,No,N/A,Yes
CLK1105,System,JHSMH,SMH,No,N/A,Yes
CLK1218,System,JHSMH,SMH,No,N/A,Yes
CLK5026,System,JHSMH,PTC,No,N/A,Yes
CLK5040,System,JHSMH,PTC,No,N/A,Yes
CLK5114,System,JHSMH,PTC,No,N/A,Yes
CLK5130,System,JHSMH,PTC,No,N/A,Yes
CLK5153,System,JHSMH,PTC,No,N/A,Yes
CLK5154,System,JHSMH,PTC,No,N/A,Yes
CLK5161,System,JHSMH,PTC,No,N/A,Yes
CLK5213,System,JHSMH,PTC,No,N/A,Yes
CLK5216,System,JHSMH,PTC,No,N/A,Yes
CLK5564,System,JHSMH,PTC,No,N/A,Yes
CLK6368,System,JHSMH,SMH,No,N/A,Yes
CLK6571,System,JHSMH,PTC,No,N/A,Yes
CSC01COM02,System,JHSMH,PTC,No,N/A,Yes
CSC02RB06,System,JHSMH,PTC,No,N/A,Yes
CSC0AR03,System,JHSMH,PTC,No,N/A,Yes
CSC0CBO06,System,JHSMH,PTC,No,N/A,Yes
CSC0CBO08,System,JHSMH,PTC,No,N/A,Yes
CSC0FW02,System,JHSMH,PTC,No,N/A,Yes
CSC0INDEX14,System,JHSMH,PTC,No,N/A,Yes
CSC1ADMIN001,System,JHSMH,PTC,No,N/A,Yes
CSC1CS03,System,JHSMH,PTC,No,N/A,Yes
CSC1CSCH52,System,JHSMH,PTC,No,N/A,Yes
CSC1DTACTR03,System,JHSMH,PTC,No,N/A,Yes
CSC1DTS01,System,JHSMH,PTC,No,N/A,Yes
CSC1DTSPOSEY,System,JHSMH,PTC,No,N/A,Yes
CSC1DTSRAWL,System,JHSMH,PTC,No,N/A,Yes
CSC1DTSSAL,System,JHSMH,PTC,No,N/A,Yes
CSC1IT25,System,JHSMH,PTC,No,N/A,Yes
CSC1ITAPPS08,System,JHSMH,PTC,No,N/A,Yes
CSC1ITLP01,System,JHSMH,PTC,No,N/A,Yes
CSC1NTWRKLAP1,System,JHSMH,PTC,No,N/A,Yes
CSC1SCHTRN02,System,JHSMH,PTC,No,N/A,Yes
CSC1SS07,System,JHSMH,PTC,No,N/A,Yes
CSC2CAL04,System,JHSMH,PTC,No,N/A,Yes
CSC2DCZEKE,System,JHSMH,PTC,No,N/A,Yes
CSC2LEGAL03,System,JHSMH,PTC,No,N/A,Yes
CSC2PA12,System,JHSMH,PTC,No,N/A,Yes
CSC2PA32,System,JHSMH,PTC,No,N/A,Yes
CSC2PAADM01,System,JHSMH,PTC,No,N/A,Yes
CSC2PAYL01,System,JHSMH,PTC,No,N/A,Yes
CSC2RB01,System,JHSMH,PTC,No,N/A,Yes
CSC2SCHLPTMP,System,JHSMH,PTC,No,N/A,Yes
CSCEPATH,System,JHSMH,PTC,No,N/A,Yes
CSCMEDIBASE,System,JHSMH,PTC,No,N/A,Yes
CSCTEST100,System,JHSMH,PTC,No,N/A,Yes
CSCVNA34,System,JHSMH,PTC,No,N/A,Yes
CSCVNA40,System,JHSMH,PTC,No,N/A,Yes
CSRONCADM04,System,JHSMH,PTC,No,N/A,Yes
DRORCART05,System,JHSMH,PTC,No,N/A,Yes
EJBIRK01PC,System,JHSMH,PTC,No,N/A,Yes
EM1,System,JHSMH,PTC,No,N/A,Yes
ETOWNVNA01,System,JHSMH,PTC,No,N/A,Yes
FERNGINA,System,JHSMH,PTC,No,N/A,Yes
FORCEPLATE1,System,JHSMH,PTC,No,N/A,Yes
FR10GYM04,System,JHSMH,PTC,No,N/A,Yes
FR10PC06,System,JHSMH,PTC,No,N/A,Yes
FR10PC08,System,JHSMH,PTC,No,N/A,Yes
FR11GYM01,System,JHSMH,PTC,No,N/A,Yes
FR11GYM05,System,JHSMH,PTC,No,N/A,Yes
FR11GYMLAP06,System,JHSMH,,No,N/A,No
FR11PC26,System,JHSMH,PTC,No,N/A,Yes
FR11PULMLAP02,System,JHSMH,PTC,No,N/A,Yes
FR15DATACABLE,System,JHSMH,PTC,No,N/A,Yes
FR15PC10,System,JHSMH,PTC,No,N/A,Yes
FR15PC16,System,JHSMH,PTC,No,N/A,Yes
FR1AC05,System,JHSMH,PTC,No,N/A,Yes
FR6PC14,System,JHSMH,PTC,No,N/A,Yes
FR6PC15,System,JHSMH,PTC,No,N/A,Yes
FR6PC23,System,JHSMH,PTC,No,N/A,Yes
FR6PC24,System,JHSMH,PTC,No,N/A,Yes
FR6PC46,System,JHSMH,PTC,No,N/A,Yes
FR6PC51,System,JHSMH,PTC,No,N/A,Yes
FR7PC13,System,JHSMH,PTC,No,N/A,Yes
FR8PC06,System,JHSMH,PTC,No,N/A,Yes
FR8PCSPA,System,JHSMH,PTC,No,N/A,Yes
FR8PCSPB,System,JHSMH,PTC,No,N/A,Yes
FR9ADMIN01,System,JHSMH,PTC,No,N/A,Yes
FR9ADMIN02,System,JHSMH,PTC,No,N/A,Yes
FR9DMR01,System,JHSMH,PTC,No,N/A,Yes
FR9DMR04,System,JHSMH,PTC,No,N/A,Yes
FRCASE03,System,JHSMH,PTC,No,N/A,Yes
FRCASELAP05,System,JHSMH,,No,N/A,No
FRLAP04,System,JHSMH,PTC,No,N/A,Yes
FRLAP07,System,JHSMH,PTC,No,N/A,Yes
H310,System,JHSMH,PTC,No,N/A,Yes
H405,System,JHSMH,PTC,No,N/A,Yes
HCC2ORP1,System,JHSMH,,No,N/A,No
HL10CONFPC,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS01,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS02,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS03,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS04,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS05,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS06,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS07,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS08,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS09,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS10,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS11,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS12,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS13,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS14,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS15,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS16,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS17,System,JHSMH,PTC,No,N/A,Yes
HL10TRANS18,System,JHSMH,PTC,No,N/A,Yes
HL14P01,System,JHSMH,PTC,No,N/A,Yes
HL15SCRAIGLT,System,JHSMH,PTC,No,N/A,Yes
HL16ADOBE,System,JHSMH,PTC,No,N/A,Yes
HL16LT01,System,JHSMH,PTC,No,N/A,Yes
HL16LT02,System,JHSMH,PTC,No,N/A,Yes
HL16LT03,System,JHSMH,PTC,No,N/A,Yes
HL16LT04,System,JHSMH,PTC,No,N/A,Yes
HL2PRE01,System,JHSMH,PTC,No,N/A,Yes
HL3CATHPOSTL4,System,JHSMH,PTC,No,N/A,Yes
HL3CATHPREL2,System,JHSMH,PTC,No,N/A,Yes
HL3GS1,System,JHSMH,PTC,No,N/A,Yes
HL5CV04,System,JHSMH,PTC,No,N/A,Yes
HL5CVICP01,System,JHSMH,PTC,No,N/A,Yes
HL5CVICP02,System,JHSMH,PTC,No,N/A,Yes
HL5NC02,System,JHSMH,PTC,No,N/A,Yes
HL5OHRRCONF,System,JHSMH,PTC,No,N/A,Yes
HL6CAM11,System,JHSMH,PTC,No,N/A,Yes
HL6CARDIO01,System,JHSMH,PTC,No,N/A,Yes
HL6CARDIOTEE,System,JHSMH,PTC,No,N/A,Yes
HL6CVISION02,System,JHSMH,PTC,No,N/A,Yes
HL6CVISION04,System,JHSMH,PTC,No,N/A,Yes
HL6CVISION11,System,JHSMH,PTC,No,N/A,Yes
HL6CVISION12,System,JHSMH,PTC,No,N/A,Yes
HL6CVISION14,System,JHSMH,PTC,No,N/A,Yes
HL6CVISION18,System,JHSMH,PTC,No,N/A,Yes
HL6MUSE1,System,JHSMH,PTC,No,N/A,Yes
HL6MUSE2,System,JHSMH,PTC,No,N/A,Yes
HL7CAREMAN07,System,JHSMH,PTC,No,N/A,Yes
HL8PHY02,System,JHSMH,PTC,No,N/A,Yes
HLPHYLNG,System,JHSMH,PTC,No,N/A,Yes
HOLTER,System,JHSMH,PTC,No,N/A,Yes
HR1TRAININGRM,System,JHSMH,PTC,No,N/A,Yes
HRCT1RECLAP,System,JHSMH,PTC,No,N/A,Yes
HRCT2ADMLPT01,System,JHSMH,PTC,No,N/A,Yes
ICIPTEMP,System,JHSMH,PTC,No,N/A,Yes
JH0BIOMEDL01,System,JHSMH,PTC,No,N/A,Yes
JH0ENGADMIN,System,JHSMH,PTC,No,N/A,Yes
JH0HEALTH03,System,JHSMH,PTC,No,N/A,Yes
JH0RESOUR03,System,JHSMH,PTC,No,N/A,Yes
JH0RX03,System,JHSMH,PTC,No,N/A,Yes
JH0RX12,System,JHSMH,PTC,No,N/A,Yes
JH0RX41,System,JHSMH,PTC,No,N/A,Yes
JH0SPM07,System,JHSMH,PTC,No,N/A,Yes
JH1ADMIN22,System,JHSMH,PTC,No,N/A,Yes
JH1ERADMINL01,System,JHSMH,PTC,No,N/A,Yes
JH1ERN09,System,JHSMH,PTC,No,N/A,Yes
JH1ERN12,System,JHSMH,PTC,No,N/A,Yes
JH1ERXRAY03,System,JHSMH,PTC,No,N/A,Yes
JH1HIM08,System,JHSMH,PTC,No,N/A,Yes
JH2ORP01,System,JHSMH,PTC,No,N/A,Yes
JH2POSTOP03,System,JHSMH,PTC,No,N/A,Yes
JH2POSTOP08,System,JHSMH,PTC,No,N/A,Yes
JH2POSTOP09,System,JHSMH,PTC,No,N/A,Yes
JH2POSTOP12,System,JHSMH,PTC,No,N/A,Yes
JH2POSTOP19,System,JHSMH,PTC,No,N/A,Yes
JH2XRAYWRKRM01,System,JHSMH,PTC,No,N/A,Yes
JH3EDIET4,System,JHSMH,PTC,No,N/A,Yes
JH3EP7,System,JHSMH,PTC,No,N/A,Yes
JH3EROOM12,System,JHSMH,PTC,No,N/A,Yes
JH3EROOM19,System,JHSMH,PTC,No,N/A,Yes
JH3LAB03,System,JHSMH,PTC,No,N/A,Yes
JH3LAB61,System,JHSMH,PTC,No,N/A,Yes
JH4EN01,System,JHSMH,PTC,No,N/A,Yes
JH4ICUANC01,System,JHSMH,PTC,No,N/A,Yes
JH4ICUCN20,System,JHSMH,PTC,No,N/A,Yes
JH4ICUCNC01,System,JHSMH,PTC,No,N/A,Yes
JH4ICUCNC04,System,JHSMH,PTC,No,N/A,Yes
JH4ICUFNC11,System,JHSMH,PTC,No,N/A,Yes
JH4RXL01,System,JHSMH,PTC,No,N/A,Yes
JH4RXL09,System,JHSMH,PTC,No,N/A,Yes
JH4WNC02,System,JHSMH,PTC,No,N/A,Yes
JH4WNC03,System,JHSMH,PTC,No,N/A,Yes
JH4WROOM46,System,JHSMH,PTC,No,N/A,Yes
JH4WROOM58,System,JHSMH,PTC,No,N/A,Yes
JH5NEURO02,System,JHSMH,PTC,No,N/A,Yes
JH6EP2,System,JHSMH,PTC,No,N/A,Yes
JH6SNL01,System,JHSMH,PTC,No,N/A,Yes
JHCARELAP25,System,JHSMH,PTC,No,N/A,Yes
JHCARELP09,System,JHSMH,PTC,No,N/A,Yes
JHCARELP13,System,JHSMH,PTC,No,N/A,Yes
JHERREGCOW2,System,JHSMH,PTC,No,N/A,Yes
JHPAYSPCLP01,System,JHSMH,,No,N/A,No
JHPAYSPCLP02,System,JHSMH,PTC,No,N/A,Yes
JHPHYLNG,System,JHSMH,PTC,No,N/A,Yes
JHRXL06,System,JHSMH,PTC,No,N/A,Yes
JHXPLNT03,System,JHSMH,PTC,No,N/A,Yes
JL0G,System,JHSMH,PTC,No,N/A,Yes
JPGAIM08,System,JHSMH,MCE,No,N/A,Yes
JPGCBO17,System,JHSMH,PTC,No,N/A,Yes
JPGCBO18,System,JHSMH,PTC,No,N/A,Yes
JPGCBO19,System,JHSMH,PTC,No,N/A,Yes
JPGCBOJT03,System,JHSMH,PTC,No,N/A,Yes
JPGCBOJT05,System,JHSMH,PTC,No,N/A,Yes
JPGCBOJT07,System,JHSMH,PTC,No,N/A,Yes
JPGCBOJT08,System,JHSMH,PTC,No,N/A,Yes
