User ID,AD Group
DCM0827,V_XDW_76_VDI_STD_C
KXC9651,V_XDW_76_VDI_STD_C
RND4181,V_XDW_76_VDI_STD_C
TMB4518,V_XDW_76_VDI_STD_C
