"Name","Version","Package","Type","Size","Source"
"eFreedom Annual Statment","7.1.0.0","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_855c14bd-db24-4914-a527-0986d47b64df/1","Application","1179.87620258331","\\lounaswps01\idrive\d907ATS\source\5270\app-v"
"Romeo and Dye's Section 16 Filer","3.7.202","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_f0d590d9-b0bf-4080-9b17-e2c68db4d169/1","Application","15.9368047714233","\\lounaswps01\idrive\D907ats\source\4546\install\appv"
"Reflection for Unix and OpenVMS 2011","R3","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_3647eba0-c39f-4b7e-867b-2401fa8db85a/2","Application","271.517929077148","\\lounaswps01\pdrive\d907ats\4033\install"
"Comp Benefits Auditing","4.2.2","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_ac62b59c-67a1-43f5-a93e-2b3f60c61652/1","Application","30.9825630187988","\\lounaswps01\pdrive\d907ats\5513\install"
"Deskview - LOUAPPWPS138","11","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_960a22ba-2941-461c-b68b-334358150b5f/2","Application","48.155161857605","\\lounaswps01\idrive\d907ats\Source\5449\install"
"AutoCAD LT","2014","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_a6d52679-4941-4c73-a9b6-bb6b5a050b7b/1","Application","2689.01730155945","\\lounaswps01\pdrive\d907ats\5920\install"
"Digital Editions","2.0 App-V","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_bb98595c-eb0f-40a9-8fc6-4bafb475cc0f/2","Application","16.3507385253906","\\lounaswps01\idrive\D907ats\source\4507\install\app-v"
"Illustrator","CS6 Win7 x64","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_77dfe757-0c17-44cd-9b11-702efd993dc4/2","Application","2182.13744068146","\\lounaswps01\idrive\D907ats\Source\5110\install"
"Chrome for Enterprise","25","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_b0f27fb5-47e5-4510-87f0-de6fa3757f17/2","Application","212.938453674316","\\lounaswps01\idrive\D907ats\Source\5122\install"
"Project Professional","2010","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_0f6caa21-cf9e-4cae-b4f0-42447d311398/2","Application","1642.14699840546","\\lounaswps01\idrive\D907ats\source\2164\App-V"
"Project Standard","2010","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_035e087e-92e2-4f31-988c-cfa7c58f2c30/2","Application","396.081323623657","\\lounaswps01\idrive\D907ats\source\1262\App-v"
"Office Sharepoint Designer","2010","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_bf379c8b-aef9-448e-aeb2-42cfb1412289/2","Application","449.206043243408","\\lounaswps01\idrive\D907ats\source\4113\app-v"
"Quest Analytics Suite","2013.1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_18a9d7ad-c08a-4178-a469-fa404fc1d41c/9","Application","2260.29167175293","\\lounaswps01\idrive\d907ats\Source\5008\install\app-v"
"Microsoft MapPoint Europe 2011","2011","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_de9469e6-c55d-45d1-9ed9-d268f0f37c83/3","Application","1800.58643722534","\\lounaswps01\idrive\d907ats\source\4118\app-v\Microsoft MapPoint Europe 2011"
"Quest Analytics Suite 2013.1 AppV5","2013.1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_0062eefe-932e-4e3b-9e27-2595885f17c9/6","Application","2307.93217563629","\\lounaswps01\idrive\d907ats\source\5604\install"
"Humana CAC Chameleon Suite 2.8 AppV5","2.8","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_2b79f84c-f965-419d-ae67-92d6e219a103/6","Application","13.7660808563232","\\lounaswps01\idrive\d907ats\source\5607\install"
"Orca","5.0.7069","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_6ad53fd4-2605-436c-9269-608f4590c50b/2","Application","4.35949325561523","\\lounaswps01\idrive\d907ats\source\1265"
"UltraEdit","19.1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_61dbeb34-9059-406d-b094-44497afb7e4c/2","Application","63.1704187393188","\\lounaswps01\idrive\d907ats\Source\5012\install"
"Scooter Software Beyond Compare 3.3.4 AppV5","3.3.4","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_d24d002d-dcfa-4e17-974a-fe3a9798bfa5/6","Application","7.19330501556396","\\lounaswps01\idrive\d907ats\Source\5517\Install"
"Microsoft Visio Premium 2010 w/ SP1 MS12-059 KB259","6","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_4bfb457b-d633-4f0c-a8a0-d8e22da2c6b7/5","Application","1576.0042886734","\\lounaswps01\idrive\d907ats\source\2641\app-v"
"SCCM Client Center 2.0.4.2 AppV5","2.0.4.2","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_ee18032c-938c-4015-9c70-867f07c35911/2","Application","1.20840167999268","\\lounaswps01\idrive\d907ats\5482\install"
"Adobe Acrobat Professional 8.3.1.3","8.3.1.3","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_7523192a-4713-442b-9f06-b89117d94ff7/24","Application","1839.09962368011","\\lounaswps01\idrive\D907ATS\Source\5675\install\seq"
"Symon Communications Incorporated DeskView 11 AppV5","11","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_3b4af1fa-5aac-4d78-bb95-fa0365c81478/5","Application","26.2998523712158","\\lounaswps01\idrive\d907ats\Source\5643\install"
