User ID,AD Group
HUMAD\RBW0486,V_XDW_76_VDI_DEV_A
HUMAD\SXA4520,V_XDW_76_VDI_DEV_A
HUMAD\NXB4520,V_XDW_76_VDI_DEV_A
HUMAD\AXD2900,V_XDW_76_VDI_DEV_A
HUMAD\NXS0030,V_XDW_76_VDI_DEV_A
HUMAD\SGR0000,V_XDW_76_VDI_DEV_A
HUMAD\RXM5955,V_XDW_76_VDI_DEV_A
HUMAD\YXS0041,V_XDW_76_VDI_DEV_A
HUMAD\AXR5932,V_XDW_76_VDI_DEV_A
