SIMXDWDEVP0024,5
SIMXDWDEVC3689,5
LOUXDWDEVP0623,5
LOUXDWSTDB3528,5
SIMXDWDEVC3612,5
LOUXDWDEVC2990,5
SIMXDWTSSA0009,5
SIMXDWDEVB3550,5
SIMXDWDEVC3925,5
SIMXDWDEVC3964,8
LOUXDWDEVB2904,8
SIMXDWDEVC4077,8
SIMXDWDEVP0011,8
LOUXDWDEVC0547,8
SIMXDWDEVB3541,8
SIMXDWDEVC3534,8
SIMXDWDEVE0094,8
SIMXDWDEVP0458,8
LOUXDWSTDB4669,8
SIMXDWDEVP0221,8
SIMXDWTSSA1157,8
SIMXDWDEVP0932,8
SIMXDWSTDB4631,8
LOUXDWDEVC3124,8
LOUXDWDEVP0712,8
LOUXDWDEVP0325,8
SIMXDWDEVP0487,8
SIMXDWDEVP0257,10
LOUXDWDEVP0734,10
LOUXDWDEVC2944,10
LOUXDWDEVP0066,10
SIMXDWDEVP1160,10
SIMXDWSTDB4454,10
SIMXDWDEVP0672,10
SIMXDWSTDB3723,10
SIMXDWDEVP0749,10
SIMXDWDEVP0964,10
LOUXDWDEVP0911,10
LOUXDWSTDB5654,10
SIMXDWDEVP0323,10
SIMXDWDEVP0287,10
LOUXDWDEVP0907,10
SIMXDWSTDB3450,10
SIMXDWDEVP0736,10
SIMXDWDEVP0384,10
LOUXDWSTDB4494,10
SIMXDWDEVC3205,10
LOUXDWDEVC2999,10
SIMXDWDEVE0122,10
SIMXDWDEVP0601,10
LOUXDWDEVP0087,10
LOUXDWDEVP0038,10
SIMXDWDEVC3922,10
LOUXDWSTDB5758,10
SIMXDWDEVP0199,10
SIMXDWDEVP0855,10
LOUXDWDEVP0674,10
LOUXDWSTDB3553,10
SIMXDWDEVP0382,10
LOUXDWDEVP0782,10
SIMXDWDEVE0056,10
LOUXDWDEVP0262,13
LOUXDWSTDB5041,13
SIMXDWDEVP0452,13
LOUXDWSTDB3508,13
LOUXDWTSSA1151,13
LOUXDWDEVP0299,13
SIMXDWDEVP0149,13
LOUXDWSTDB3746,13
SIMXDWDEVP0718,13
LOUXDWDEVP0787,13
SIMXDWDEVP0801,13
LOUXDWDEVP0012,13
SIMXDWSTDB4636,13
SIMXDWDEVP0808,13
LOUXDWSTDB3795,13
SIMXDWTSSA1115,13
SIMXDWDEVC3764,13
LOUXDWSTDB3309,13
SIMXDWSTDB8337,13
SIMXDWSTDB8399,13
SIMXDWSTDB8375,13
SIMXDWSTDB8310,13
LOUXDWSTDB3520,13
SIMXDWSTDB5394,13
SIMXDWDEVP0859,13
SIMXDWSTDB8397,13
LOUXDWSTDB3833,13
LOUXDWSTDB5631,13
LOUXDWSTDB3193,13
SIMXDWSTDB8347,13
LOUXDWSTDB1018,13
SIMXDWSTDB8255,13
SIMXDWSTDB3378,13
SIMXDWSTDB8288,13
SIMXDWSTDB8312,13
LOUXDWDEVP0671,13
LOUXDWDEVP0989,13
SIMXDWSTDB8409,13
SIMXDWDEVP0138,13
SIMXDWSTDB0284,13
SIMXDWSTDB8394,13
LOUXDWDEVP0886,13
SIMXDWDEVP0996,13
LOUXDWSTDB5567,13
